brand,model,edition,price,year,mileage,condition,transmission,bodyType,fuelType,engineCapacity,location,dealer,images
Nissan,Juke,NULL,7090000,2010,152000,Used,Automatic,SUV,Petrol,1500,Colombo,Sameera Auto Traders,"{}"
Toyota,Premio,G Superior,12290000,2015,175000,Used,Automatic,Sedan,Petrol,1800,Colombo,Sameera Auto Traders,"{}"
Toyota,Yaris Ativ,GR Sport Hybrid,18390000,2025,0,New,Automatic,Sedan,Hybrid,1500,Colombo,Sameera Auto Traders,"{}"
Toyota,Corolla 141,LX,6775000,2008,188000,Used,Automatic,Sedan,Petrol,1500,Colombo,Sameera Auto Traders,"{}"
Toyota,Axio,WXB,11750000,2017,116000,Used,Automatic,Sedan,Hybrid,1500,Colombo,Sameera Auto Traders,"{}"
Honda,Vezel,Z,10190000,2015,119000,Used,Automatic,SUV,Hybrid,1500,Colombo,Sameera Auto Traders,"{}"
Honda,Vezel,RS Sensing,12090000,2017,83000,Used,Automatic,SUV,Hybrid,1500,Colombo,Sameera Auto Traders,"{}"
Toyota,Roomy,Custom GT Turbo,10590000,2024,15000,Used,Automatic,Hatchback,Petrol,1000,Colombo,Sameera Auto Traders,"{}"
Honda,Fit,GP1,6690000,2013,85000,Used,Automatic,Hatchback,Hybrid,1300,Colombo,Sameera Auto Traders,"{}"
Toyota,Yaris Ativ,GR Hybrid,18390000,2025,0,New,Automatic,Sedan,Hybrid,1500,Colombo,Sameera Auto Traders,"{}"
Land Rover,Discovery 4,NULL,34790000,2014,150000,Used,Automatic,SUV,Diesel,3000,Colombo,Sameera Auto Traders,"{}"
DFSK,Glory I,NULL,9590000,2022,40000,Used,Automatic,SUV,Petrol,1500,Colombo,Sameera Auto Traders,"{}"
Toyota,Land Cruiser Prado,95 1KZ,12290000,1997,230000,Used,Automatic,SUV,Diesel,3000,Colombo,Sameera Auto Traders,"{}"
Honda,Vezel,Z,9590000,2014,98000,Used,Automatic,SUV,Hybrid,1500,Colombo,Sameera Auto Traders,"{}"
Land Rover,Discovery 4,HSE Luxury,27490000,2011,134000,Used,Automatic,SUV,Diesel,3000,Colombo,Sameera Auto Traders,"{}"
Daihatsu,Rocky,ESmart Hybrid,12990000,2024,10000,Used,Automatic,SUV,Hybrid,1200,Colombo,Sameera Auto Traders,"{}"
Toyota,Premio,G Superior New Face,16290000,2019,89000,Used,Automatic,Sedan,Petrol,1800,Colombo,Sameera Auto Traders,"{}"
Toyota,Fortuner,NULL,19490000,2013,160000,Used,Automatic,SUV,Diesel,3000,Colombo,Sameera Auto Traders,"{}"
